
0,#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,1,2019/03/13,239.00,-2.05,248.00,237.00,244.00,70458,11950.00
2,2,2019/03/12,245.00,4.26,246.00,234.00,235.00,94823,34300.00
3,3,2019/03/11,235.00,2.17,238.00,228.00,232.00,73683,164500.00
4,4,2019/03/10,230.00,0,234.00,226.00,230.00,41255,11500.00
5,5,2019/03/07,230.00,1.77,231.00,225.00,228.00,47328,46000.00
6,6,2019/03/06,226.00,0.89,226.00,222.00,223.00,25338,9040.00
7,7,2019/03/05,224.00,0.9,225.00,221.00,222.00,34553,11200.00
8,8,2019/03/03,222.00,-0.89,225.00,222.00,224.00,40964,105006.00
9,9,2019/02/27,224.00,0.45,228.00,223.00,224.00,26480,11200.00
10,10,2019/02/26,223.00,-0.45,225.00,221.00,225.00,34122,14941.00
11,11,2019/02/25,224.00,0.9,226.00,220.00,220.00,35508,11200.00
12,12,2019/02/24,222.00,-1.33,226.00,220.00,224.00,46222,8880.00
13,13,2019/02/21,225.00,0.45,228.00,222.00,222.00,32296,63000.00
14,14,2019/02/20,224.00,-3.45,233.00,223.00,231.00,41490,8960.00
15,15,2019/02/19,232.00,4.98,232.00,219.00,223.00,57539,23200.00
16,16,2019/02/18,221.00,-2.21,226.00,220.00,223.00,51862,8840.00
17,17,2019/02/17,226.00,-0.88,231.00,225.00,225.00,45386,9040.00
18,18,2019/02/14,228.00,-0.87,230.00,224.00,227.00,69628,9120.00
19,19,2019/02/13,230.00,-0.43,232.00,229.00,230.00,41724,11500.00
20,20,2019/02/12,231.00,-0.43,232.00,230.00,232.00,38083,9240.00
21,21,2019/02/11,232.00,0.43,237.00,227.00,231.00,61013,2320.00
22,22,2019/02/10,231.00,-2.94,238.00,229.00,237.00,59960,9240.00
23,23,2019/02/07,238.00,0,238.00,233.00,236.00,59830,11900.00
24,24,2019/02/06,238.00,-2.06,243.00,237.00,241.00,67848,9520.00
25,25,2019/02/05,243.00,-1.22,248.00,240.00,246.00,104687,2430.00
26,26,2019/02/04,246.00,-2.77,253.00,245.00,251.00,95240,12300.00
27,27,2019/02/03,253.00,-1.94,258.00,251.00,258.00,99156,10120.00
28,28,2019/01/31,258.00,0.78,260.00,253.00,256.00,57691,10320.00
29,29,2019/01/30,256.00,-1.54,260.00,256.00,260.00,53226,12800.00
30,30,2019/01/29,260.00,-2.62,267.00,258.00,267.00,95372,13000.00
31,31,2019/01/28,267.00,0,270.00,266.00,267.00,64493,13350.00
32,32,2019/01/27,267.00,-2.55,279.00,261.00,274.00,121117,13350.00
33,33,2019/01/24,274.00,-1.44,285.00,270.00,278.00,122167,33758245.00
34,34,2019/01/23,278.00,6.92,286.00,255.00,260.00,138867,13900.00
35,35,2019/01/22,260.00,-1.14,266.00,237.00,263.00,217131,13000.00
36,36,2019/01/21,263.00,-9.93,292.00,263.00,292.00,403770,5260.00
37,37,2019/01/20,292.00,-6.11,342.00,280.00,326.00,729258,14600.00
38,38,2019/01/17,311.00,9.89,311.00,283.00,283.00,57490,12440.00
39,39,2019/01/16,283.00,9.69,283.00,258.00,258.00,3690,14150.00
40,40,2019/01/15,258.00,9.79,258.00,235.00,235.00,3685,10320.00
41,41,2019/01/14,336.00,50,336.00,235.00,235.00,14295,13440.00
42,42,2019/01/13,224.00,0,224.00,224.00,224.00,51875,8960.00
